Unnamed: 0,Job_Role,Android,Angular,AWS,Azure,Blockchain,Bootstrap,C#,C++,Confluence,CSS,CSS3,Data Science,DigitalOcean,Django,Docker,Ethereum,Git,Google Cloud Platform,GraphQL,Heroku,HTML,HTML5,iOS,Java,JavaScript,Jira,Kubernetes,LESS,Machine Learning,MERN Stack,MongoDB,Node.js,PHP,Python,PyTorch,React,RESTful API,Ruby,R,Sass,Solidity,Spring Framework,SQL,Swift,TensorFlow,TypeScript,Unity,Vue.js
385,AI Engineering Manager,0,3,2,3,3,2,3,3,0,2,0,2,3,2,2,3,3,2,3,2,2,3,3,0,2,2,3,2,3,2,0,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
386,IT Manager,2,3,3,0,3,3,3,3,2,2,2,3,2,0,3,2,3,0,3,2,2,3,2,3,3,3,2,3,2,2,3,2,2,0,3,3,2,2,2,3,3,2,3,0,2,3,3,3
387,Machine Learning Engineer,3,3,3,0,3,0,3,2,2,2,3,3,2,2,2,2,3,0,2,2,2,3,2,3,0,3,2,2,2,3,3,2,3,3,3,2,3,2,3,2,3,0,3,2,3,3,2,3
388,UX Lead,3,0,3,3,0,3,2,2,0,3,2,3,3,3,2,2,3,2,2,3,3,2,0,3,3,3,2,3,0,3,3,3,3,3,2,3,3,2,2,2,2,3,3,2,2,3,3,3
389,Database Administrator,3,3,0,2,3,3,2,3,2,2,3,2,2,3,2,3,2,3,0,2,2,3,2,3,3,2,0,0,3,2,2,2,2,2,3,3,3,3,3,3,0,3,3,3,3,3,3,3
390,Backend Architect,0,3,0,2,2,2,2,2,2,0,2,2,2,3,2,3,3,3,3,2,2,3,2,3,2,3,3,2,3,3,2,3,3,3,2,2,3,2,3,2,2,3,3,2,0,3,3,0
391,Product Development Manager,3,0,2,3,3,0,3,2,3,3,3,2,3,0,3,3,3,2,0,3,2,2,3,2,3,3,0,3,3,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,2,3,3
392,Frontend Developer,3,3,2,0,0,3,2,2,2,3,2,0,0,3,3,0,3,3,3,3,3,2,2,3,3,2,2,3,3,2,2,2,3,3,3,3,2,2,2,2,2,3,3,3,2,2,2,2
393,Data Product Manager,2,3,3,2,3,2,3,2,3,0,3,0,2,2,2,2,3,2,3,3,2,2,3,3,2,2,3,2,3,2,2,2,0,3,3,3,2,0,3,2,3,3,3,2,3,2,0,2
394,Android Developer,3,3,2,2,2,2,3,0,3,2,2,2,0,2,2,2,3,3,0,3,3,2,3,3,3,3,3,2,3,2,2,3,2,3,3,3,3,0,3,3,2,3,0,3,2,3,2,2
395,Backend Development Lead,2,2,3,2,2,2,2,3,3,0,2,2,2,3,2,3,3,2,0,2,3,0,0,3,2,2,3,2,2,3,2,3,2,3,2,3,2,2,3,3,3,2,3,2,3,0,2,2
396,AI Product Manager,0,3,2,3,2,0,3,3,3,2,3,0,3,3,2,2,3,0,3,2,2,2,3,2,2,2,3,2,2,3,3,2,2,0,2,2,3,3,2,3,2,3,3,3,2,3,2,2
397,Software Architect,2,2,2,0,3,3,2,3,0,3,0,3,3,2,3,2,3,2,3,2,3,3,2,0,2,2,2,0,3,3,3,3,3,3,2,2,2,3,2,2,2,2,3,3,3,2,2,2
398,Solutions Architect,2,0,3,3,2,0,2,2,2,3,0,2,2,2,3,2,3,0,2,2,2,2,3,2,3,3,3,2,2,3,3,3,3,3,2,2,2,2,0,2,3,3,2,2,3,3,3,3
399,Data Science Manager,0,3,2,2,0,3,3,0,2,3,3,3,3,3,3,3,3,3,2,2,2,3,0,3,0,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,2,2,3,2,3
400,ETL Developer,3,3,2,0,2,2,3,2,3,2,3,2,3,2,2,3,3,3,3,0,0,2,3,3,3,0,2,3,2,3,2,3,2,2,2,0,2,2,2,3,2,3,3,3,3,3,3,3
401,Frontend Development Lead,2,3,2,3,0,2,0,3,2,3,2,0,2,3,2,2,3,3,2,3,3,3,3,3,3,3,2,0,2,3,2,2,2,2,0,3,2,3,2,3,3,3,2,3,2,2,2,3
402,Data Scientist,3,2,3,3,0,2,2,2,2,2,2,3,0,3,3,3,2,0,3,3,3,2,0,2,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3,2,2,3,0,3,3,2,2
403,Computer Vision Engineer,0,2,3,0,3,0,3,2,3,2,3,3,2,2,2,3,3,2,2,2,2,3,0,3,3,2,0,3,2,3,2,3,3,3,2,3,2,3,2,2,3,3,2,2,2,3,2,2
404,QA Automation Engineer,0,0,2,3,3,2,2,2,3,3,2,3,3,2,2,3,3,2,3,2,3,3,2,3,3,3,0,3,3,3,3,0,3,3,2,3,2,3,3,2,3,2,0,3,2,3,2,3
405,Data Engineering Manager,2,0,2,3,3,2,0,3,3,3,0,2,2,3,3,2,3,3,3,2,3,2,3,3,3,3,3,3,0,2,3,0,3,3,2,3,2,3,2,3,2,3,3,3,3,2,3,2
406,Frontend Development Lead,3,3,2,2,0,3,0,2,3,3,2,0,2,3,2,3,3,3,3,2,3,3,2,3,3,2,2,0,2,3,3,2,3,2,0,3,3,2,3,3,3,3,2,3,3,3,2,3
407,Quality Assurance Engineer,3,2,3,0,0,3,2,3,2,3,0,2,3,3,0,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2,0,3,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2
408,Automation Engineer,2,0,3,2,3,2,0,3,3,3,2,3,3,3,3,3,3,2,2,2,3,0,3,2,0,3,2,3,2,3,3,3,0,3,3,2,2,3,2,2,3,2,2,3,3,3,3,3
409,Cloud Architect,3,0,3,3,0,2,2,2,3,3,2,3,2,2,2,3,3,3,2,2,3,2,0,3,0,2,3,2,2,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,2,0,2,2
410,QA Automation Engineer,0,0,2,3,3,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,2,2,2,3,2,3,0,2,3,2,3,0,3,3,2,2,3,2,2,3,2,2,0,3,2,2,3,3
411,Cybersecurity Engineer,3,2,3,3,0,0,2,3,0,2,2,3,2,2,2,3,3,2,2,2,3,2,2,3,2,3,2,3,3,2,3,0,2,3,2,3,3,2,3,3,3,3,2,2,3,2,3,0
412,Full Stack Developer,3,3,3,3,3,3,3,2,0,3,2,0,2,3,3,3,3,2,0,3,3,3,2,0,3,3,3,3,2,2,3,3,2,3,0,3,3,3,2,2,3,2,3,3,2,2,2,3
413,Backend Development Manager,2,3,2,3,2,3,2,0,2,3,2,2,2,3,3,2,3,0,2,2,3,0,2,3,3,3,3,2,3,2,3,2,3,3,2,3,3,2,0,2,3,3,3,0,3,3,2,2
414,Full Stack Developer,2,3,2,2,3,2,2,3,0,3,3,0,3,3,2,3,3,3,0,3,3,3,2,0,3,3,3,3,2,3,3,3,2,3,0,3,3,3,3,3,3,2,3,3,3,3,2,3
415,UI Developer,3,3,2,2,3,2,3,3,2,3,3,3,3,3,2,0,3,0,3,3,3,0,3,3,3,0,2,3,0,3,3,2,3,3,3,3,2,2,3,2,3,2,3,3,3,3,2,3
416,Backend Architect,0,2,0,2,3,3,3,3,2,0,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,2,3,2,2,3,3,2,2,3,3,3,3,2,2,3,3,3,3,3,0,3,2,0
417,Chief Technology Officer (CTO),2,0,0,0,2,3,3,3,2,2,2,3,3,2,3,2,3,0,2,2,3,3,3,3,2,3,2,3,0,3,2,2,2,3,2,2,3,2,3,2,3,3,2,3,2,3,2,2
418,Frontend Development Manager,3,3,3,0,3,3,0,2,2,3,3,3,3,2,2,2,3,3,3,2,3,2,2,2,3,3,0,2,3,2,3,2,2,0,2,3,3,3,0,3,2,3,3,2,2,3,3,2
419,Full Stack Developer,3,2,2,3,3,2,3,3,0,3,3,0,3,3,3,3,3,2,0,2,3,3,2,0,3,3,3,3,3,2,3,3,3,3,0,3,3,3,2,3,3,2,2,2,3,3,2,3
420,SRE (Site Reliability Engineer),3,0,3,2,3,3,0,3,2,2,2,2,3,2,3,2,3,2,2,2,2,3,2,2,3,3,3,3,3,2,3,3,3,3,2,0,2,2,3,2,2,0,2,2,3,3,0,2
421,Quality Assurance Engineer,3,2,3,0,0,3,3,2,2,2,0,3,3,3,0,3,3,3,2,3,2,2,2,3,3,2,2,3,3,3,3,0,2,3,2,2,3,2,3,2,2,3,2,3,3,3,3,3
422,Release Manager,2,3,3,3,0,3,3,0,3,3,3,2,0,2,2,3,3,3,3,2,3,2,3,3,2,3,2,2,3,0,2,3,0,2,3,3,3,2,3,3,2,3,2,2,3,3,2,3
423,Chief Technology Officer (CTO),2,0,0,0,2,2,2,2,3,3,2,3,2,2,2,3,3,0,2,3,2,3,3,3,2,2,3,3,0,3,2,3,2,3,2,2,2,2,2,3,3,2,3,2,2,2,2,2
424,DevOps Lead,3,3,3,2,2,3,0,3,3,3,2,3,3,3,3,0,3,3,0,2,3,2,2,3,2,3,3,0,3,2,3,0,2,3,3,3,2,3,2,3,2,2,2,2,2,3,3,2
425,Product Manager,3,3,3,2,2,2,2,0,2,2,0,2,3,2,3,3,3,2,2,2,2,2,3,3,2,2,2,2,3,3,0,3,3,2,2,3,2,3,3,2,2,2,0,3,0,3,3,3
426,Backend Engineer,2,3,2,3,3,2,2,0,3,3,0,2,2,3,2,2,3,2,0,3,2,2,2,3,0,2,3,3,2,3,2,3,2,3,2,3,2,2,2,3,3,2,3,3,0,3,2,2
427,Backend Engineer,2,3,3,2,2,2,2,0,2,3,0,2,2,3,3,3,3,2,0,2,3,3,3,3,0,2,3,3,3,3,2,2,3,3,2,2,3,3,3,2,3,3,3,2,0,3,2,2
428,Cybersecurity Engineer,3,3,2,3,0,0,2,3,0,3,2,3,2,3,3,3,3,3,2,3,2,2,3,2,2,2,3,3,3,3,3,0,3,2,3,3,2,3,3,3,3,3,2,2,3,2,3,0
429,Blockchain Developer,3,2,3,2,3,2,3,3,2,3,3,3,2,3,2,3,3,3,2,0,3,3,2,3,3,2,2,3,2,3,2,3,0,2,0,0,3,2,2,3,3,0,3,3,3,3,3,2
430,Frontend Developer,2,3,3,0,0,2,2,2,3,3,3,0,0,3,3,0,3,2,3,3,3,3,3,2,3,2,2,3,2,2,3,3,2,2,2,3,3,2,3,2,2,3,2,3,2,2,3,2
431,Technical Support Engineer,2,3,2,2,3,2,0,2,2,0,2,3,3,2,0,3,3,3,2,3,2,2,3,3,2,2,0,0,2,3,2,3,2,2,2,2,3,3,3,2,3,3,3,2,3,3,3,3
432,Frontend Engineer,3,3,3,3,3,2,3,3,0,3,3,2,3,3,2,2,3,3,0,2,3,2,2,2,3,3,2,2,2,0,0,0,2,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3
433,Software Engineer,0,2,0,2,2,0,2,2,2,3,2,0,3,3,2,3,3,3,2,3,3,3,2,3,3,2,3,2,2,2,3,3,2,3,3,3,2,2,2,3,2,0,3,3,3,2,3,3
434,QA Automation Engineer,0,0,3,3,3,2,3,3,3,2,3,2,2,2,2,3,3,2,3,2,2,3,2,2,2,2,0,3,3,3,2,0,2,3,2,2,2,2,3,2,3,2,0,3,2,2,3,3
435,Data Engineering Manager,2,0,3,2,2,3,0,3,3,3,0,3,3,3,3,3,3,3,2,3,2,2,3,3,2,2,3,3,0,3,3,0,2,3,2,2,2,3,3,2,3,2,3,3,3,3,2,3
436,Web Developer,3,3,0,3,3,3,0,3,2,3,2,0,2,2,0,3,3,2,3,3,3,2,3,2,3,3,2,2,3,2,2,3,2,2,3,3,2,3,2,3,3,2,2,2,2,0,3,2
437,UX Architect,3,2,3,2,3,2,2,2,2,0,3,2,2,3,0,0,3,2,3,3,3,2,2,2,3,2,2,3,0,3,3,3,2,3,3,3,2,2,2,0,3,2,2,3,3,2,3,2
438,Platform Engineer,0,3,3,3,2,0,2,0,3,2,2,2,3,2,3,2,3,2,2,2,3,2,2,3,3,3,3,2,3,2,0,2,3,3,3,0,2,3,3,2,2,2,3,3,2,3,3,2
439,QA Manager,0,3,3,3,3,2,2,0,2,2,2,0,3,2,3,3,3,3,0,3,3,3,2,3,3,3,3,3,3,2,3,2,3,3,2,3,2,3,2,3,2,3,3,2,3,2,2,0
440,Quality Assurance Engineer,2,3,3,0,0,2,3,2,3,2,0,3,3,2,0,2,3,3,2,3,2,3,2,3,3,2,3,2,3,2,3,0,3,2,2,3,3,2,2,3,3,2,3,3,2,3,3,2
441,Product Manager,2,3,2,2,3,3,2,0,2,2,0,3,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,2,0,3,3,3,2,3,3,2,2,3,3,2,0,3,0,2,2,2
442,Platform Engineer,0,3,3,3,3,0,3,0,2,3,3,3,3,2,3,3,3,2,2,3,3,3,2,2,3,3,3,3,2,2,0,3,2,3,3,0,3,2,2,3,2,3,3,2,2,2,2,2
443,Engineering Director,3,2,2,3,0,2,3,0,3,2,3,2,3,3,0,3,3,3,3,0,3,2,3,3,0,3,2,2,3,2,3,2,2,3,3,2,2,3,3,2,2,2,3,2,2,3,2,2
444,Chief Technology Officer (CTO),3,0,0,0,2,3,3,2,3,2,3,2,3,3,3,3,3,0,2,3,2,3,2,3,3,3,3,3,0,2,2,3,3,2,2,3,2,3,2,2,2,3,2,3,2,3,2,2
445,Network Administrator,0,0,0,2,3,3,2,2,3,3,2,3,2,3,3,2,3,2,2,3,3,3,2,3,2,3,3,3,2,2,0,3,2,3,3,3,2,2,3,2,3,3,3,2,2,0,3,2
446,Network Security Engineer,3,0,2,3,3,3,3,0,3,3,2,0,2,3,2,3,3,2,2,2,3,2,2,3,2,2,2,0,2,2,3,2,2,2,2,2,0,3,3,2,3,3,3,2,3,3,3,2
447,Network Administrator,0,0,0,2,3,3,2,2,3,2,3,2,2,2,2,2,3,3,2,3,2,3,2,2,3,3,3,2,2,3,0,2,3,2,3,2,2,2,3,3,3,3,2,3,3,0,3,2
448,Cybersecurity Analyst,2,0,2,0,2,0,3,3,3,2,2,3,3,2,3,2,3,2,2,3,0,0,2,3,3,2,3,2,2,2,3,2,3,2,2,2,3,3,3,3,3,2,3,3,2,3,3,3
449,Cybersecurity Manager,0,3,2,3,3,3,3,0,3,2,2,2,3,3,3,3,3,3,3,3,0,2,3,3,2,3,3,3,3,3,2,2,2,3,3,2,3,2,0,0,2,3,2,3,2,3,2,2
450,UX Lead,3,0,2,2,0,3,3,3,0,2,3,3,3,2,2,3,3,2,3,2,2,2,0,2,3,2,3,3,0,2,2,3,3,2,2,3,2,2,3,2,2,3,2,3,2,2,2,2
451,QA Automation Engineer,0,0,2,2,3,3,2,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,0,3,2,2,3,0,3,3,3,2,2,3,2,2,3,3,0,3,3,3,3,3
452,Frontend Development Lead,2,3,3,3,0,2,0,2,3,3,2,0,2,3,3,2,3,2,3,3,3,3,3,3,3,2,3,0,2,2,3,3,2,3,0,3,3,2,2,2,3,2,3,2,2,2,2,3
453,Frontend Development Manager,3,3,3,0,3,3,0,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,2,0,3,3,2,2,3,3,0,3,3,3,3,0,2,2,3,3,3,3,2,3,3
454,Machine Learning Lead,3,0,0,3,3,2,2,0,2,2,0,3,2,3,2,3,3,3,2,2,2,2,3,2,3,0,2,3,2,2,2,2,2,3,3,3,2,3,2,3,3,3,2,2,3,3,3,3
455,Cybersecurity Lead,2,3,3,0,3,0,0,2,3,2,3,3,3,2,3,0,3,2,3,3,0,3,3,2,3,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,3,3,3,2,2,2,2
456,Cybersecurity Engineer,3,3,3,3,0,0,3,2,0,3,2,2,2,3,2,3,3,3,2,3,2,2,2,3,2,2,3,3,3,3,2,0,2,3,3,3,2,2,3,2,3,2,3,3,2,3,2,0
457,Embedded Software Engineer,3,2,0,2,3,2,2,3,2,3,0,2,3,2,2,3,3,3,2,2,0,2,2,2,2,3,3,3,3,2,3,0,0,2,3,3,2,2,3,2,3,2,3,3,2,3,3,2
458,Data Science Manager,0,3,2,2,0,2,3,0,3,2,3,2,3,3,2,3,3,2,3,3,2,3,0,3,0,3,3,3,3,2,3,2,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,3
459,AI Engineer,3,3,0,2,3,3,3,2,2,3,3,3,3,2,3,0,3,3,3,3,2,3,2,2,3,3,2,0,3,3,2,3,3,3,3,3,2,2,2,3,2,0,3,3,3,3,0,2
460,Blockchain Developer,3,2,3,3,3,3,3,2,2,3,3,2,2,3,3,3,3,2,3,0,3,2,3,3,3,3,2,3,3,2,3,3,0,3,0,0,2,3,3,3,3,0,2,2,2,2,3,2
461,Data Scientist,3,2,3,2,0,2,2,3,3,3,2,3,0,3,2,3,3,0,2,3,2,2,0,3,2,2,2,3,3,3,2,3,2,3,3,3,3,3,3,3,2,2,3,0,2,2,2,3
462,Data Scientist,2,2,2,2,0,3,2,2,3,3,3,3,0,3,2,2,2,0,3,3,2,3,0,3,3,3,3,3,2,2,3,2,3,3,2,2,3,3,3,2,3,2,3,0,2,3,3,2
463,MERN Developer,3,3,2,2,2,3,2,3,2,0,3,2,3,3,3,2,3,3,3,2,3,2,2,3,3,3,3,3,2,0,3,3,2,2,3,3,3,3,2,3,3,2,0,3,2,0,2,0
464,UI Architect,2,2,3,2,2,3,3,2,2,3,3,2,0,3,3,0,3,0,2,2,3,3,2,2,3,0,3,2,3,3,3,0,2,2,3,3,2,2,2,3,3,2,3,3,3,2,3,3
465,QA Automation Engineer,0,0,2,2,2,3,3,2,3,2,3,3,3,3,2,2,3,3,2,3,3,2,2,3,2,2,0,3,3,2,2,0,2,3,2,2,2,3,3,3,2,3,0,2,2,2,3,2
466,Full Stack Developer,2,2,3,2,2,3,2,3,0,3,2,0,3,3,2,2,3,2,0,2,3,2,3,0,3,3,2,3,3,2,3,3,2,3,0,3,2,3,3,3,2,2,2,2,3,2,3,2
467,Cybersecurity Engineer,3,2,3,2,0,0,2,3,0,3,2,3,2,3,2,2,3,2,3,2,2,3,3,3,2,2,2,2,3,2,3,0,2,3,2,3,2,3,2,2,2,3,2,3,3,3,3,0
468,QA Manager,0,2,3,3,2,2,3,0,3,2,2,0,3,2,3,3,3,2,0,2,2,3,3,3,2,3,3,2,3,3,3,3,2,3,2,3,3,2,3,3,2,2,3,2,3,2,3,0
469,Enterprise Architect,2,3,3,3,0,3,3,0,2,3,2,2,2,3,3,3,3,0,2,3,2,3,2,2,3,3,3,3,3,3,3,3,3,0,3,3,3,2,2,2,3,3,3,3,2,2,3,0
470,Product Manager,3,3,2,2,3,2,2,0,3,2,0,2,2,3,2,3,3,3,3,3,3,2,3,3,2,3,2,2,2,3,0,2,2,2,3,3,3,3,3,2,3,2,0,2,0,3,2,3
471,Software Engineer,0,3,0,2,3,0,3,3,2,3,3,0,2,2,3,2,3,3,3,2,3,2,2,3,3,2,3,2,2,2,2,3,2,3,2,3,2,2,3,2,2,0,3,2,3,2,3,3
472,Platform Engineer,0,3,3,3,3,0,2,0,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,0,3,2,3,3,0,3,3,2,3,3,3,3,2,3,3,2,2
473,Database Administrator,3,3,0,2,2,3,2,2,3,3,3,2,2,3,2,3,2,3,0,3,2,2,2,2,3,2,0,0,3,3,3,3,3,3,2,2,2,2,2,3,0,2,3,3,2,2,3,3
474,UI Architect,3,2,3,3,3,2,2,2,2,3,3,3,0,2,3,0,3,0,3,2,3,2,3,2,3,0,2,3,2,2,3,0,2,2,2,3,3,2,2,3,2,3,2,2,3,3,2,3
475,Software Developer,3,2,0,2,0,0,3,3,2,3,3,2,3,3,0,2,3,2,0,3,2,3,3,3,3,2,3,3,3,2,3,3,2,3,3,2,3,3,3,2,3,2,3,2,3,2,3,3
476,UI Development Lead,0,3,2,3,0,2,2,2,2,3,2,3,3,3,3,3,3,2,2,3,3,0,3,2,3,3,3,0,0,3,2,3,3,2,3,3,2,2,3,3,3,2,3,2,2,2,2,3
477,UX Designer,3,2,3,2,2,3,3,3,2,0,2,3,2,3,2,3,3,3,2,0,3,3,2,3,2,3,0,3,3,3,0,3,3,2,2,3,3,3,3,0,2,3,3,3,3,2,2,3
478,Backend Development Manager,3,3,3,2,2,2,2,0,3,2,3,3,2,3,2,2,3,0,3,3,2,0,2,3,3,3,3,3,2,2,3,2,3,3,2,2,2,3,0,2,2,2,3,0,2,3,3,2
479,DevOps Lead,3,2,3,2,3,3,0,2,3,3,3,3,3,3,3,0,3,2,0,2,2,3,3,3,3,3,3,0,2,2,3,0,3,3,3,3,2,2,2,2,3,2,3,3,2,3,2,2
480,Product Owner,2,3,3,3,2,2,3,2,3,3,0,2,2,2,3,2,3,0,3,2,3,2,3,3,2,2,0,3,3,0,3,3,3,2,3,2,3,0,3,2,2,2,2,2,3,2,3,2
481,Engineering Director,3,3,2,2,0,2,3,0,3,2,3,2,3,3,0,3,3,2,3,0,3,3,3,3,0,3,2,3,3,3,3,2,3,3,2,3,2,2,3,2,2,3,3,2,2,3,2,2
482,Cloud Engineer,3,3,3,3,0,3,3,3,3,2,0,3,3,2,3,0,3,2,2,3,3,3,2,2,3,2,3,3,2,3,3,2,0,3,3,2,0,3,3,3,2,2,3,3,3,3,3,3
483,Cloud Engineer,2,2,3,3,0,2,3,3,2,2,0,3,3,3,3,0,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,2,0,2,3,2,0,2,3,2,3,2,3,2,2,3,2,2
484,IT Support Specialist,3,2,3,2,0,3,3,2,3,0,3,3,2,2,3,3,3,3,0,2,2,3,2,0,2,2,3,3,3,0,3,2,3,3,2,2,2,3,2,2,2,2,3,3,3,2,2,3
485,SRE (Site Reliability Engineer),2,0,3,2,2,2,0,3,2,3,2,3,3,3,3,2,3,3,3,3,3,2,3,2,3,2,3,3,3,2,2,3,3,3,3,0,3,3,3,3,2,0,3,3,2,3,0,2
486,Cybersecurity Analyst,3,0,3,0,3,0,3,2,2,3,2,3,2,2,3,3,3,3,3,3,0,0,2,2,3,2,2,2,3,3,3,3,3,3,2,2,3,2,2,2,3,2,3,2,2,2,3,3
487,UI Architect,3,2,2,2,2,2,2,2,3,3,3,3,0,2,3,0,3,0,3,2,3,3,3,3,3,0,2,2,3,3,3,0,3,3,2,3,2,2,2,3,2,3,3,3,3,3,2,3
488,Embedded Software Engineer,3,2,0,3,3,2,2,3,3,3,0,3,2,3,3,3,3,2,2,3,0,3,3,2,3,3,2,3,3,3,3,0,0,2,2,3,2,3,2,2,3,2,3,2,2,3,3,3
489,Frontend Development Manager,3,3,2,0,3,3,0,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,2,3,2,0,2,2,3,2,3,3,0,3,3,3,3,0,2,3,3,3,2,2,2,3,3
490,UI Architect,2,2,3,2,2,3,3,2,3,3,2,3,0,3,3,0,3,0,2,2,3,3,2,2,3,0,2,3,3,2,3,0,2,2,2,3,3,3,3,2,3,3,3,3,2,2,2,3
491,Data Warehouse Architect,0,3,3,2,3,3,3,2,2,3,3,2,3,0,3,3,3,3,3,2,0,3,3,3,2,0,2,3,0,3,2,3,2,3,3,3,2,3,3,3,2,2,3,3,2,3,2,2
492,UI Development Lead,0,2,2,2,0,3,3,3,3,3,2,3,3,3,2,2,3,3,3,2,3,0,2,3,3,2,3,0,0,2,3,2,3,3,3,3,3,2,2,2,3,3,3,3,3,2,3,3
493,Data Scientist,3,2,3,3,0,3,2,3,2,2,3,2,0,2,3,3,2,0,3,3,2,3,0,3,2,3,2,2,3,2,3,3,3,3,3,3,3,2,3,2,2,3,3,0,3,2,3,3
494,Embedded Systems Engineer,3,3,3,2,3,2,3,2,2,3,2,3,3,0,2,2,3,2,2,0,2,3,0,2,0,2,2,3,3,3,2,3,2,2,2,0,2,2,3,2,3,2,3,2,3,2,3,3
495,Network Security Engineer,2,0,2,3,3,2,3,0,3,2,2,0,3,3,3,3,3,3,2,2,3,3,3,3,2,2,2,0,3,3,3,2,3,2,2,2,0,3,2,2,2,3,3,2,2,3,3,3
496,Software Development Director,3,2,2,3,3,2,3,3,3,0,3,3,0,2,2,0,3,2,3,2,3,2,3,3,0,3,2,0,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3
497,Software Development Director,2,3,3,2,2,2,3,2,2,0,3,3,0,2,2,0,3,3,3,2,2,3,3,3,0,3,3,0,3,2,3,3,2,2,2,3,2,3,2,3,2,2,3,2,3,2,2,2
498,MERN Developer,3,2,2,3,2,3,3,3,2,0,3,2,3,2,2,3,3,3,2,3,3,3,3,2,2,3,2,2,3,0,3,3,3,3,3,3,3,2,3,3,3,3,0,3,3,0,3,0
499,Cybersecurity Engineer,3,3,2,3,0,0,3,2,0,2,3,2,3,2,2,2,3,3,3,3,2,2,2,3,3,2,2,3,3,3,2,0,3,2,2,2,3,2,3,2,3,3,2,2,2,3,2,0
500,System Administrator,2,2,3,2,0,0,3,3,3,3,2,2,2,3,2,3,3,2,2,3,2,3,2,2,3,2,2,2,3,0,3,2,3,0,0,2,3,2,3,2,3,3,3,2,2,2,3,3
501,Technical Writer,3,2,0,0,3,3,3,3,3,3,3,3,2,2,0,2,3,3,3,3,3,0,3,3,2,3,3,2,0,2,3,2,3,3,3,2,2,3,2,2,3,2,2,3,3,3,3,3
502,Data Engineer,2,0,2,3,2,0,2,2,2,0,3,2,2,3,2,2,3,0,2,2,2,2,3,2,2,3,3,2,2,3,2,3,2,3,3,3,3,3,3,3,0,3,3,2,2,2,2,3
503,Frontend Engineer,2,3,3,3,3,3,2,3,0,3,3,2,2,3,3,3,3,2,0,2,3,2,3,2,3,2,2,3,3,0,0,0,3,2,2,3,3,3,3,3,3,2,2,3,3,2,2,3
504,Cybersecurity Analyst,2,0,2,0,2,0,2,3,3,2,3,2,2,3,2,3,3,3,2,2,0,0,3,3,3,3,2,3,2,2,2,3,3,3,2,2,2,2,2,2,3,3,3,2,2,3,3,2
505,Data Engineering Manager,2,0,2,3,3,3,0,2,3,2,0,2,2,3,2,2,3,2,2,3,2,3,2,3,2,3,3,2,0,3,3,0,3,3,2,2,2,3,3,2,2,3,3,3,2,2,3,3
506,Automation Engineer,2,0,2,2,3,2,0,2,3,3,3,2,3,2,3,3,3,2,3,2,2,0,2,2,0,3,2,2,2,3,3,2,0,3,2,2,3,2,3,3,3,3,3,3,2,3,2,3
507,Product Development Manager,3,0,2,3,3,0,2,2,3,2,3,3,3,0,3,2,3,3,0,3,3,3,3,3,2,3,0,2,3,3,3,2,2,3,2,3,3,2,3,3,3,2,3,2,2,2,2,2
508,QA Manager,0,3,2,2,3,3,3,0,3,3,3,0,3,3,3,3,3,3,0,3,2,3,3,2,3,3,3,2,2,3,2,3,2,2,2,3,3,3,3,3,3,2,2,3,3,2,2,0
509,Computer Vision Engineer,0,2,3,0,2,0,3,2,3,3,2,3,2,2,3,3,3,2,2,3,2,3,0,2,2,2,0,3,3,3,3,2,3,3,2,2,3,2,3,3,3,2,2,2,2,3,3,2
510,Machine Learning Lead,3,0,0,3,2,3,3,0,3,3,0,2,3,3,3,2,3,2,2,3,3,2,3,2,3,0,2,3,3,3,2,2,2,3,3,2,3,3,3,3,3,2,2,3,3,3,2,2
511,Data Warehouse Architect,0,3,2,3,2,3,2,2,2,2,3,3,3,0,3,3,3,3,2,2,0,3,3,3,2,0,2,2,0,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,3,2,3,3
512,Software Development Manager,0,2,2,3,3,2,2,3,2,2,2,2,3,3,3,2,3,2,3,3,3,0,3,3,3,0,2,2,3,0,2,3,2,3,3,2,3,3,3,2,2,2,2,2,2,2,2,0
